45,,2683.038,2780.556,2878.002,2976.319,3075.883,3176.873,3279.393,3383.517,3489.298,3596.782,3705.999,3816.970,3929.704,4044.201,4160.460,4278.530,4398.256,4519.651,4642.695,4767.356,4893.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,2682.397,2780.201,2877.774,2976.158,3075.761,3176.777,3279.316,3383.453,3489.245,3596.736,3705.960,3816.936,3929.674,4044.176,4160.438,4278.510,4398.238,4519.635,4642.680,4767.342,4893.580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,2681.753,2779.844,2877.546,2975.996,3075.639,3176.681,3279.238,3383.389,3489.191,3596.691,3705.921,3816.903,3929.645,4044.150,4160.415,4278.490,4398.220,4519.619,4642.666,4767.329,4893.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,2681.105,2779.486,2877.317,2975.835,3075.517,3176.585,3279.161,3383.325,3489.137,3596.646,3705.882,3816.869,3929.616,4044.125,4160.393,4278.469,4398.202,4519.602,4642.651,4767.316,4893.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,2680.453,2779.128,2877.088,2975.673,3075.395,3176.489,3279.083,3383.261,3489.084,3596.600,3705.843,3816.836,3929.587,4044.099,4160.370,4278.449,4398.184,4519.586,4642.637,4767.303,4893.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,2679.798,2778.768,2876.858,2975.511,3075.273,3176.394,3279.006,3383.197,3489.030,3596.555,3705.805,3816.802,3929.558,4044.074,4160.347,4278.429,4398.166,4519.570,4642.622,4767.290,4893.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,2679.138,2778.408,2876.629,2975.349,3075.151,3176.298,3278.928,3383.133,3488.977,3596.509,3705.766,3816.769,3929.529,4044.048,4160.325,4278.409,4398.147,4519.554,4642.607,4767.277,4893.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,2678.474,2778.047,2876.399,2975.187,3075.029,3176.202,3278.850,3383.068,3488.923,3596.464,3705.727,3816.735,3929.499,4044.022,4160.302,4278.389,4398.129,4519.538,4642.593,4767.264,4893.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,2677.805,2777.684,2876.168,2975.025,3074.907,3176.106,3278.773,3383.004,3488.869,3596.418,3705.688,3816.701,3929.470,4043.997,4160.280,4278.368,4398.111,4519.521,4642.578,4767.250,4893.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,2677.131,2777.321,2875.937,2974.862,3074.785,3176.010,3278.695,3382.940,3488.816,3596.373,3705.649,3816.668,3929.441,4043.971,4160.257,4278.348,4398.093,4519.505,4642.564,4767.237,4893.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
